                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7449,                 3.4237,                 1.6203,                0.46607,                0.34439,                0.31262,                0.20039,                 1.2952,                 1.8261,                 1.3894,             0.00010939,             0.00010939,             0.00010939
                      2,                 1.2945,                  1.587,                 1.2965,                0.72121,                0.69495,                0.77452,                0.52435,                 1.2131,                0.99404,                 1.4048,             0.00021966,             0.00021966,             0.00021966
                      3,                 1.2643,                 1.2027,                 1.2883,                0.88303,                0.84848,                 0.9163,                0.61822,                 1.2093,                0.80805,                 1.3653,              0.0003292,              0.0003292,              0.0003292
                      4,                 1.2374,                 1.0529,                 1.2661,                0.89592,                0.89566,                0.95612,                0.65478,                 1.1748,                0.72383,                 1.3061,              0.0003297,              0.0003297,              0.0003297
                      5,                 1.2187,                 0.9503,                  1.256,                0.93226,                0.92424,                0.97235,                0.68067,                 1.1445,                0.64892,                  1.341,              0.0003297,              0.0003297,              0.0003297
                      6,                 1.2003,                0.89724,                 1.2461,                0.92925,                0.93134,                0.96906,                0.68039,                 1.1288,                0.61901,                 1.3299,              0.0003286,              0.0003286,              0.0003286
                      7,                 1.1925,                0.85333,                 1.2412,                0.93334,                0.96217,                0.98077,                0.68423,                   1.14,                0.60012,                 1.3165,             0.00032751,             0.00032751,             0.00032751
                      8,                 1.1856,                0.83484,                 1.2417,                0.92432,                0.96111,                0.98155,                0.69417,                 1.1151,                0.59122,                 1.3072,             0.00032641,             0.00032641,             0.00032641
                      9,                 1.1774,                0.79276,                 1.2349,                0.95898,                0.96107,                0.98165,                0.69893,                 1.1196,                0.57265,                 1.3089,             0.00032531,             0.00032531,             0.00032531
                     10,                 1.1749,                0.79023,                 1.2311,                0.94881,                0.96122,                0.98452,                0.70174,                 1.1166,                0.54794,                  1.317,             0.00032421,             0.00032421,             0.00032421
                     11,                 1.1608,                 0.7691,                 1.2289,                0.95937,                0.96274,                 0.9816,                0.69351,                  1.123,                0.55406,                 1.3297,             0.00032311,             0.00032311,             0.00032311
                     12,                 1.1598,                0.75651,                 1.2282,                0.95689,                0.95908,                0.98127,                0.69815,                 1.1225,                0.54827,                 1.3297,             0.00032201,             0.00032201,             0.00032201
                     13,                 1.1512,                0.73866,                 1.2217,                0.94921,                0.96465,                 0.9787,                0.70267,                 1.1307,                0.55546,                 1.3632,             0.00032091,             0.00032091,             0.00032091
                     14,                 1.1492,                0.72034,                 1.2263,                0.95994,                0.94717,                0.97967,                 0.6972,                 1.1078,                0.52462,                 1.3279,             0.00031981,             0.00031981,             0.00031981
                     15,                 1.1423,                0.71808,                 1.2163,                0.96287,                0.97374,                0.98512,                0.71102,                 1.0866,                0.50414,                 1.3007,             0.00031871,             0.00031871,             0.00031871
                     16,                   1.15,                 0.7263,                  1.214,                  0.959,                 0.9802,                0.98284,                0.70173,                  1.103,                0.51382,                 1.3295,             0.00031762,             0.00031762,             0.00031762
                     17,                 1.1401,                0.69982,                 1.2206,                0.96203,                0.97046,                 0.9832,                0.68952,                 1.1426,                0.51344,                 1.3372,             0.00031652,             0.00031652,             0.00031652
                     18,                 1.1279,                0.69926,                 1.2184,                0.96082,                0.97593,                0.98388,                0.70034,                 1.1051,                  0.496,                 1.3362,             0.00031542,             0.00031542,             0.00031542
                     19,                 1.1313,                0.68603,                 1.2116,                0.96256,                0.97635,                0.98345,                0.71193,                 1.0829,                0.48183,                  1.324,             0.00031432,             0.00031432,             0.00031432
                     20,                  1.126,                 0.6879,                 1.2142,                0.97352,                0.97342,                0.98203,                0.70921,                 1.0948,                0.50288,                 1.3086,             0.00031322,             0.00031322,             0.00031322
                     21,                  1.112,                 0.6686,                 1.2105,                0.94499,                  0.979,                0.97677,                0.69402,                 1.0906,                0.49052,                 1.3143,             0.00031212,             0.00031212,             0.00031212
                     22,                 1.1113,                0.66753,                 1.2033,                0.96006,                0.97812,                0.98638,                0.69695,                 1.1161,                0.48479,                 1.3447,             0.00031102,             0.00031102,             0.00031102
                     23,                  1.108,                0.66333,                 1.2104,                0.96698,                0.96471,                 0.9839,                0.69081,                 1.1218,                0.50793,                 1.3673,             0.00030992,             0.00030992,             0.00030992
                     24,                 1.1087,                 0.6613,                 1.2079,                0.96983,                0.96292,                0.98105,                0.70639,                 1.1152,                0.49587,                 1.3498,             0.00030882,             0.00030882,             0.00030882
                     25,                 1.0989,                0.64393,                 1.1927,                 0.9645,                0.97353,                0.98429,                0.70112,                 1.1312,                0.47977,                 1.3404,             0.00030773,             0.00030773,             0.00030773
                     26,                 1.1112,                0.64317,                 1.2022,                0.97014,                0.97353,                0.98488,                0.70277,                 1.0971,                0.49062,                 1.3399,             0.00030663,             0.00030663,             0.00030663
                     27,                 1.0937,                0.64018,                 1.1977,                0.97601,                0.97686,                0.98509,                0.69773,                 1.0942,                0.47481,                 1.3259,             0.00030553,             0.00030553,             0.00030553
                     28,                 1.1094,                0.64468,                 1.2014,                0.96469,                0.97913,                0.98452,                0.70263,                 1.1068,                0.46491,                 1.3527,             0.00030443,             0.00030443,             0.00030443
                     29,                 1.0835,                0.64124,                 1.1938,                0.95482,                0.96911,                0.98561,                0.71194,                 1.0927,                0.47603,                 1.3382,             0.00030333,             0.00030333,             0.00030333
                     30,                  1.083,                0.63262,                 1.1894,                0.97324,                 0.9691,                0.98416,                0.70265,                 1.0947,                0.46534,                 1.3325,             0.00030223,             0.00030223,             0.00030223
                     31,                 1.0961,                0.63397,                 1.1948,                0.96782,                0.97247,                0.98548,                0.70718,                 1.0948,                0.46862,                 1.3329,             0.00030113,             0.00030113,             0.00030113
                     32,                 1.0915,                0.62832,                 1.1901,                0.95138,                 0.9673,                0.98399,                0.70304,                 1.0938,                0.47105,                 1.3418,             0.00030003,             0.00030003,             0.00030003
                     33,                 1.0762,                0.61461,                 1.1945,                0.96474,                0.96455,                0.98419,                0.71178,                 1.0862,                0.46509,                 1.3122,             0.00029893,             0.00029893,             0.00029893
                     34,                 1.0637,                0.61766,                 1.1836,                 0.9723,                0.97627,                0.98602,                0.70774,                 1.0962,                0.47011,                 1.3354,             0.00029784,             0.00029784,             0.00029784
                     35,                 1.0665,                0.61092,                 1.1839,                0.96097,                0.97493,                0.98071,                0.69931,                 1.0951,                0.45472,                 1.3774,             0.00029674,             0.00029674,             0.00029674
                     36,                 1.0749,                 0.6126,                 1.1931,                0.96603,                0.97719,                0.98524,                0.70803,                 1.0899,                0.45707,                 1.3247,             0.00029564,             0.00029564,             0.00029564
                     37,                 1.0677,                0.60385,                 1.1903,                0.96165,                0.97594,                0.98073,                0.70859,                 1.1134,                0.46959,                 1.3489,             0.00029454,             0.00029454,             0.00029454
                     38,                 1.0487,                0.59857,                 1.1714,                0.96527,                0.97477,                0.98247,                0.70832,                 1.0965,                0.45765,                 1.3315,             0.00029344,             0.00029344,             0.00029344
                     39,                 1.0567,                0.59646,                 1.1733,                0.97032,                0.97365,                0.98528,                0.70691,                 1.0871,                0.45443,                  1.333,             0.00029234,             0.00029234,             0.00029234
                     40,                 1.0533,                 0.6013,                 1.1756,                0.96859,                0.97764,                0.98603,                0.71088,                 1.1214,                0.45479,                 1.3775,             0.00029124,             0.00029124,             0.00029124
                     41,                 1.0571,                0.59182,                 1.1794,                0.96508,                0.96927,                0.98316,                0.71151,                 1.0851,                0.45583,                 1.3282,             0.00029014,             0.00029014,             0.00029014
                     42,                 1.0376,                0.58693,                 1.1686,                0.96472,                0.97919,                 0.9834,                0.71033,                 1.0909,                0.44046,                 1.3535,             0.00028904,             0.00028904,             0.00028904
                     43,                 1.0507,                0.58402,                 1.1696,                0.95513,                0.97704,                0.98599,                0.70757,                 1.1135,                0.47398,                 1.3706,             0.00028795,             0.00028795,             0.00028795
                     44,                 1.0421,                0.58816,                 1.1612,                 0.9657,                0.96994,                0.98389,                0.70613,                 1.1044,                 0.4652,                 1.3373,             0.00028685,             0.00028685,             0.00028685
                     45,                 1.0434,                0.58007,                 1.1655,                 0.9649,                0.97634,                0.98912,                 0.7101,                 1.1087,                0.45538,                 1.3475,             0.00028575,             0.00028575,             0.00028575
                     46,                 1.0209,                0.56583,                  1.159,                0.97137,                0.96945,                0.98727,                0.70848,                 1.1145,                 0.4487,                 1.3629,             0.00028465,             0.00028465,             0.00028465
                     47,                 1.0167,                0.56772,                 1.1494,                0.96253,                0.96947,                0.98577,                0.70941,                 1.0868,                0.44469,                 1.3276,             0.00028355,             0.00028355,             0.00028355
                     48,                 1.0352,                0.57685,                 1.1658,                0.96995,                0.97443,                0.98416,                0.71079,                 1.1165,                0.45604,                 1.3665,             0.00028245,             0.00028245,             0.00028245
                     49,                 1.0243,                0.57023,                 1.1519,                0.93376,                 0.9616,                0.98313,                 0.7122,                 1.0877,                0.45396,                 1.3433,             0.00028135,             0.00028135,             0.00028135
                     50,                 1.0201,                0.57075,                  1.158,                0.97222,                0.97199,                0.98586,                0.71139,                 1.0897,                0.45422,                 1.3513,             0.00028025,             0.00028025,             0.00028025
                     51,                 1.0254,                0.56365,                 1.1594,                0.96751,                0.97386,                0.97857,                0.70624,                  1.112,                0.45355,                 1.3456,             0.00027915,             0.00027915,             0.00027915
                     52,                 1.0116,                0.56733,                 1.1506,                0.97322,                 0.9697,                0.98164,                0.71228,                 1.1019,                0.45447,                 1.3284,             0.00027806,             0.00027806,             0.00027806
